episode,steps,total_reward,avg_reward,epsilon,avg_loss,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_0_pct,action_1_pct,action_2_pct,action_3_pct,buffer_size,wall_time_s
101,200,71.625071,0.358125,0.6162,0.153013,0.6415,-0.0041,0.4786,0.4807,-0.173,13.5,23.5,33.0,30.0,20200,16.5
102,200,63.271722,0.316359,0.6124,0.396817,0.4551,-0.0112,0.6175,0.6138,-0.169,15.5,17.5,23.5,43.5,20400,17.25
103,200,72.162741,0.360814,0.6086,0.285543,0.5668,-0.0053,0.6036,0.6156,-0.167,16.5,25.0,27.0,31.5,20600,16.11
104,200,66.801316,0.334007,0.6048,0.303951,0.5777,-0.0038,0.4711,0.4962,-0.164,18.0,27.5,24.5,30.0,20800,18.07
105,200,68.606593,0.343033,0.601,0.325604,0.5942,-0.0049,0.4918,0.4981,-0.17,15.0,31.0,20.5,33.5,21000,16.52
106,200,66.223775,0.331119,0.5972,0.234846,0.563,-0.0068,0.4969,0.498,-0.167,16.5,28.5,28.0,27.0,21200,17.31
107,200,66.420115,0.332101,0.5934,0.272835,0.5646,-0.0062,0.4988,0.5039,-0.174,13.0,26.0,29.5,31.5,21400,17.31
108,200,66.681036,0.333405,0.5896,0.419381,0.5337,-0.0079,0.5477,0.5652,-0.168,16.0,31.5,24.0,28.5,21600,18.39
109,200,67.772912,0.338865,0.5858,0.282419,0.5372,-0.0092,0.5711,0.5739,-0.168,16.0,28.0,28.5,27.5,21800,16.59
110,200,69.771871,0.348859,0.582,0.291892,0.5847,-0.0052,0.533,0.5305,-0.167,16.5,23.5,29.0,31.0,22000,18.06
111,200,65.81114,0.329056,0.5782,0.224727,0.4563,-0.0104,0.6549,0.6771,-0.168,16.0,28.5,32.0,23.5,22200,16.29
112,200,70.964925,0.354825,0.5744,0.168822,0.5824,-0.0069,0.5647,0.564,-0.175,12.5,32.5,20.5,34.5,22400,19.36
113,200,66.270763,0.331354,0.5706,0.310306,0.568,-0.009,0.4892,0.5011,-0.171,14.5,31.0,25.5,29.0,22600,17.0
114,200,64.863296,0.324316,0.5668,0.35908,0.46,-0.0106,0.6361,0.6345,-0.159,20.5,25.5,19.0,35.0,22800,17.55
115,200,62.30074,0.311504,0.563,0.341375,0.5702,-0.0059,0.4062,0.3965,-0.157,21.5,29.5,23.5,25.5,23000,16.87
116,200,65.007123,0.325036,0.5592,0.306941,0.4736,-0.0138,0.6264,0.6228,-0.172,14.0,23.0,24.0,39.0,23200,18.78
117,200,75.442016,0.37721,0.5554,0.275049,0.5862,-0.0062,0.6469,0.6452,-0.173,13.5,28.0,28.0,30.5,23400,17.6
118,200,64.514022,0.32257,0.5516,0.328139,0.5014,-0.0084,0.5524,0.5667,-0.154,23.0,29.5,19.5,28.0,23600,17.86
119,200,64.683944,0.32342,0.5478,0.270262,0.5536,-0.0052,0.4736,0.4905,-0.168,16.0,21.0,35.0,28.0,23800,18.05
120,200,65.739364,0.328697,0.544,0.421581,0.4543,-0.0149,0.6588,0.682,-0.163,18.5,39.0,14.5,28.0,24000,17.37
121,200,69.936408,0.349682,0.5402,0.399422,0.6054,-0.0083,0.5033,0.5152,-0.174,13.0,34.0,23.0,30.0,24200,18.22
122,200,71.469826,0.357349,0.5364,0.40818,0.5457,-0.0068,0.6274,0.6308,-0.164,18.0,32.5,20.5,29.0,24400,18.14
123,200,63.473152,0.317366,0.5326,0.302715,0.4274,-0.0182,0.6813,0.6627,-0.175,12.5,33.0,15.5,39.0,24600,19.45
124,200,70.79232,0.353962,0.5288,0.445472,0.6198,-0.0061,0.5081,0.4884,-0.175,12.5,25.0,28.0,34.5,24800,17.55
125,200,64.326149,0.321631,0.525,0.281629,0.5125,-0.0074,0.5366,0.5338,-0.154,23.0,25.5,24.5,27.0,25000,17.95
126,200,64.324677,0.321623,0.5212,0.2825,0.5114,-0.0108,0.5437,0.5489,-0.167,16.5,31.0,23.0,29.5,25200,17.35
127,200,67.257687,0.336288,0.5174,0.17827,0.5453,-0.0096,0.5495,0.5574,-0.176,12.0,20.5,39.0,28.5,25400,17.64
128,200,59.843918,0.29922,0.5136,0.397419,0.4589,-0.01,0.5289,0.5383,-0.15,25.0,23.5,26.0,25.5,25600,18.34
129,200,73.326576,0.366633,0.5098,0.296123,0.5823,-0.0034,0.6038,0.618,-0.178,11.0,21.0,33.5,34.5,25800,18.75
130,200,60.272374,0.301362,0.506,0.212276,0.4813,-0.0103,0.5112,0.5105,-0.163,18.5,28.5,29.0,24.0,26000,16.15
131,200,64.054117,0.320271,0.5022,0.353816,0.4993,-0.0123,0.5566,0.5726,-0.171,14.5,38.5,24.5,22.5,26200,19.58
132,200,68.0139,0.340069,0.4984,0.345548,0.5391,-0.0068,0.5685,0.5737,-0.165,17.5,36.5,28.0,18.0,26400,16.91
133,200,67.738969,0.338695,0.4946,0.258278,0.5169,-0.011,0.601,0.6172,-0.172,14.0,32.0,33.0,21.0,26600,18.58
134,200,63.729075,0.318645,0.4908,0.409916,0.5043,-0.0149,0.5533,0.5557,-0.179,10.5,36.5,28.0,25.0,26800,19.38
135,200,63.469333,0.317347,0.487,0.301044,0.5241,-0.0057,0.4914,0.5053,-0.151,24.5,23.5,19.5,32.5,27000,18.77
136,200,70.960747,0.354804,0.4832,0.215387,0.6129,-0.0052,0.5152,0.5068,-0.17,15.0,27.0,17.5,40.5,27200,17.69
137,200,67.703179,0.338516,0.4794,0.308308,0.5998,-0.0036,0.4587,0.4669,-0.16,20.0,20.5,23.5,36.0,27400,19.67
138,200,66.271486,0.331357,0.4756,0.242482,0.5529,-0.0119,0.5159,0.5318,-0.174,13.0,30.0,23.5,33.5,27600,20.04
139,200,69.220867,0.346104,0.4718,0.215703,0.5794,-0.0065,0.5251,0.5419,-0.17,15.0,23.0,31.5,30.5,27800,19.08
140,200,71.947695,0.359738,0.468,0.236056,0.5883,-0.0111,0.5838,0.5782,-0.182,9.0,39.0,23.0,29.0,28000,19.67
141,200,67.245284,0.336226,0.4642,0.44806,0.5646,-0.0091,0.5069,0.534,-0.168,16.0,33.5,25.5,25.0,28200,18.73
142,200,63.217166,0.316086,0.4604,0.329895,0.5436,-0.0047,0.4634,0.4651,-0.162,19.0,24.0,32.0,25.0,28400,19.43
143,200,62.625555,0.313128,0.4566,0.386072,0.4719,-0.0123,0.5694,0.5802,-0.16,20.0,33.5,21.0,25.5,28600,19.2
144,200,67.526875,0.337634,0.4528,0.350507,0.5264,-0.0084,0.581,0.5843,-0.164,18.0,24.5,28.0,29.5,28800,22.03
145,200,69.5074,0.347537,0.449,0.254139,0.566,-0.0073,0.5617,0.5522,-0.165,17.5,30.0,20.0,32.5,29000,18.46
146,200,68.850467,0.344252,0.4452,0.278593,0.5081,-0.0073,0.6358,0.6519,-0.177,11.5,19.0,38.5,31.0,29200,20.15
147,200,69.549359,0.347747,0.4414,0.314547,0.5691,-0.0087,0.5502,0.5576,-0.16,20.0,28.0,25.0,27.0,29400,20.12
148,200,63.44854,0.317243,0.4376,0.154111,0.4308,-0.0136,0.6605,0.6672,-0.175,12.5,30.0,29.0,28.5,29600,18.38
